sample_name	target_intended	stratum	canonical_smiles	leakage_class	max_tanimoto_to_training	max_tanimoto_to_approved	iptm	interface_pae_min	intended_target_rank	intended_target_cosine	top10_off_target_genes	top10_off_target_cosines	top10_off_target_ranks	max_off_target_cosine	n_other_decoder_targets_in_top50	qed	mw	logp	ro5_compliant
dec_BTK_0091	BTK	top_cosine	Cc1[nH]c2c(C(N)=O)cc(F)c(-c3cccc(NC(=O)C=CBr)c3)c2c1C	C	0.5735	0.14	0.98	0.84	1	0.3004	BTK;Btk;TEC;BMX;ITK;Bmx;TXK;Top2;TOP2A;TOP2B	0.3004;0.2999;0.2732;0.2692;0.2648;0.2587;0.2235;0.2183;0.2129;0.2105	1;2;4;6;7;29;65;66;67;68	0.3004	1	0.5312	430.28	4.537	True
dec_BTK_0093	BTK	top_cosine	Cc1c(NC(=O)C=CN)cccc1-c1ccc(C(N)=O)c2[nH]ccc12	C	0.8462	0.125	0.97	0.91	2	0.2996	Btk;BTK;BMX;Bmx;TEC;TXK;ITK;BLK;LYN;Lyn	0.3004;0.2996;0.2811;0.2754;0.2720;0.2526;0.2464;0.2404;0.2349;0.2345	1;3;4;5;6;43;44;45;48;49	0.3004	5	0.5499	334.38	2.653	True
dec_BTK_0095	BTK	top_cosine	Cc1[nH]c2c(C(N)=O)ccc(-c3cccc(NC(=O)C=CP)c3C)c2c1C	C	0.8302	0.1237	0.98	0.83	1	0.2986	BTK;Btk;TEC;BMX;Bmx;ITK;TXK;LCK;JAK3;PTK6	0.2986;0.2982;0.2699;0.2689;0.2674;0.2554;0.2356;0.2307;0.2180;0.2093	1;2;4;5;6;17;57;61;73;78	0.2986	5	0.4689	379.4	4.186	True
dec_BTK_0096	BTK	top_cosine	Cc1c(NC(=O)CBr)cccc1-c1ccc(C(N)=O)c2[nH]c3cc(C(=O)N4CCOCC4)ccc3c12	C	0.6974	0.1453	0.98	0.83	3	0.2960	Bmx;Btk;BTK;BMX;TEC;ITK;TXK;CSK;CAMKK2;TOP2B	0.2990;0.2977;0.2960;0.2883;0.2862;0.2705;0.2575;0.2043;0.2006;0.1998	1;2;4;5;6;7;8;66;67;68	0.2990	4	0.3237	549.43	4.201	False
dec_BTK_0098	BTK	top_cosine	Cc1[nH]c2c(C(N)=O)ccc(C3=CCCN(C(=O)C=CBr)C3)c2c1C	C	0.5441	0.1667	0.98	0.85	1	0.2943	BTK;Btk;TEC;Bmx;ITK;BMX;TXK;PDK4;Pdk4;POMGNT1	0.2943;0.2937;0.2783;0.2668;0.2667;0.2638;0.2169;0.1938;0.1924;0.1910	1;2;4;6;7;8;70;80;81;82	0.2943	2	0.7722	402.29	3.408	True
dec_BTK_0102	BTK	top_cosine	CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3ccc(C(N)=O)c4[nH]c(C5=CCC(=O)NC5)cc34)c2CP)cc1	C	0.4815	0.1724	0.92	1.33	1	0.2936	BTK;Btk;BMX;Bmx;TXK;TEC;MAPKAPK2;PTK6;MAPKAPK3;pknA	0.2936;0.2914;0.2706;0.2592;0.2563;0.2508;0.2376;0.2349;0.2348;0.2285	1;2;43;47;48;49;50;51;52;53	0.2936	1	0.2279	552.62	5.762	False
dec_BTK_0103	BTK	top_cosine	Cc1cc(C)c(C(=O)N2CCN(C(=O)C=CP)CC2)cc1Sc1cnc(NC(=O)c2cnccn2)s1	C	0.6316	0.1504	0.93	1.5	2	0.2932	Btk;BTK;ITK;Bmx;TXK;BMX;TEC;HCK;ABL1;Abl1	0.2949;0.2932;0.2889;0.2770;0.2755;0.2704;0.2640;0.2432;0.2376;0.2319	1;3;4;5;6;9;24;66;69;71	0.2949	3	0.3758	540.61	3.627	False
dec_BTK_0104	BTK	top_cosine	NCOCC(=O)N1CC=C(c2cc3c(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)ccnc3[nH]2)CC1	C	0.8261	0.1575	0.97	0.8	2	0.2926	Btk;BTK;BMX;Bmx;TEC;TXK;ITK;EIF4EBP1;SUV39H2;IGF1R	0.2931;0.2926;0.2680;0.2576;0.2180;0.1967;0.1830;0.1697;0.1643;0.1527	1;2;12;39;48;49;50;54;64;69	0.2931	0	0.2261	593.66	4.591	False
dec_BTK_0106	BTK	top_cosine	CC=CC(=O)N1CCC(n2nc(-c3ccc(Oc4cccc(OC)c4F)cc3F)c3cnccc32)C1	C	0.7037	0.2913	0.97	0.86	2	0.2912	Btk;BTK;TEC;ITK;BLK;Blk;BMX;Bmx;TXK;Fgr	0.2924;0.2912;0.2731;0.2718;0.2600;0.2588;0.2574;0.2413;0.2408;0.1899	1;3;4;5;6;7;8;12;13;73	0.2924	2	0.3327	490.51	5.527	False
dec_BTK_0108	BTK	top_cosine	NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn(C23CCC(NC(=O)C=CP)(CC2)C3)c1N	C	0.4795	0.3678	0.97	0.83	2	0.2909	Btk;BTK;TEC;BMX;TXK;Bmx;ITK;Blk;BLK;HCK	0.2919;0.2909;0.2908;0.2874;0.2785;0.2674;0.2630;0.2500;0.2460;0.2394	1;3;4;5;33;42;44;50;59;65	0.2919	2	0.3425	489.52	3.94	True
dec_BTK_0110	BTK	top_cosine	Cc1ccc(-n2cc(-c3ccnc(-n4ccn5c6c(cc5c4=O)CC(C)(C)C6)c3CO)cc(Nc3ccc4c(c3)CCN4C(=O)CBr)c2=O)cc1	C	0.6042	0.125	0.79	3.04	2	0.2904	Btk;BTK;BMX;Bmx;TEC;IGF1R;TXK;Mertk;ITK;INSR	0.2918;0.2904;0.2764;0.2705;0.2193;0.2003;0.1981;0.1961;0.1952;0.1846	1;3;12;34;48;49;50;51;52;63	0.2918	1	0.1869	745.68	6.256	False
dec_BTK_0111	BTK	top_cosine	CC(C)(C=C(C#N)C(=O)N1CCC[C@@H]1Cn1nc(-c2ccc(Oc3ccccc3)cc2F)c2c(N)ncnc21)CCl	C	0.881	0.3786	0.95	0.83	2	0.2902	Btk;BTK;BMX;TEC;ITK;Bmx;TXK;Blk;BLK;PTK6	0.2906;0.2902;0.2476;0.2458;0.2377;0.2368;0.2105;0.1921;0.1877;0.1683	1;2;4;5;34;35;58;66;67;68	0.2906	4	0.1625	574.06	5.713	False
dec_BTK_0112	BTK	top_cosine	CC(C)(O)C1CCc2c([nH]c3c(C(N)=O)ccc(-c4cccc(-n5c(=O)[nH]c6c(F)cccc6c5=O)c4CBr)c23)C1	C	0.7011	0.1345	0.97	0.86	1	0.2977	BTK;Btk;ITK;BMX;TXK;Bmx;TEC;JAK1;INSR;CSK	0.2977;0.2901;0.2752;0.2653;0.2640;0.2632;0.2480;0.2200;0.2099;0.2089	1;40;46;50;51;57;66;80;99;100	0.2977	7	0.2097	619.49	4.836	False
dec_BTK_0113	BTK	top_cosine	CC(C)(C=C(C#N)C(=O)N1CCC[C@@H]1Cn1nc(-c2ccc(Oc3ccccc3)cc2F)c2c(N)ncnc21)CO	C	0.8916	0.3824	0.95	0.82	2	0.2893	Btk;BTK;BMX;TEC;ITK;Bmx;TXK;Blk;BLK;CSK	0.2897;0.2893;0.2504;0.2492;0.2422;0.2327;0.2130;0.1946;0.1918;0.1721	1;2;4;5;6;35;51;66;67;68	0.2897	4	0.2395	555.61	4.466	False
dec_BTK_0114	BTK	top_cosine	COc1cccc(Oc2ccc(-c3nc([C@H]4CCCN4C(=O)C=CP)n4ccncc34)cc2)c1F	C	0.8493	0.35	0.94	1.41	4	0.2893	TEC;ITK;Btk;BTK;TXK;BMX;Bmx;CSK;PTPRB;INSR	0.3126;0.2924;0.2914;0.2893;0.2771;0.2694;0.2625;0.2049;0.1793;0.1660	1;2;3;5;6;7;8;67;71;73	0.3126	1	0.2679	490.48	5.389	False
dec_BTK_0116	BTK	top_cosine	NC=CC(=O)N1CC=C(c2cc3c(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)ccnc3[nH]2)CC1	C	0.8352	0.168	0.98	0.79	2	0.2885	Btk;BTK;BMX;Bmx;TEC;TXK;ITK;EIF4EBP1;MAPKAPK5;KAT6B	0.2890;0.2885;0.2631;0.2522;0.2145;0.1873;0.1772;0.1648;0.1564;0.1542	1;3;12;40;48;49;50;58;67;68	0.2890	0	0.2428	575.64	5.131	False
dec_BTK_0117	BTK	top_cosine	Cc1cc(Oc2ncccc2C)ccc1N1C(=O)Nc2c(C(=O)N[C@@H]3CCCN(C(=O)C=CS)C3)sc3nccc1c23	C	0.7609	0.2308	0.96	0.88	2	0.2873	Btk;BTK;ITK;TEC;BMX;Bmx;TXK;Blk;BLK;Fgr	0.2886;0.2873;0.2460;0.2302;0.2298;0.2207;0.2062;0.2059;0.2037;0.1662	1;3;4;38;39;55;65;66;67;70	0.2886	2	0.1861	600.73	5.948	False
dec_BTK_0119	BTK	top_cosine	CC(C)(O)C1CCc2c([nH]c3c(C(N)=O)ccc(-c4cccc(NC(=O)C(=O)CBr)c4)c23)C1	C	0.7534	0.1468	0.98	0.85	2	0.2870	gyrB;BTK;Btk;Top2;parE;TOP2B;TOP2A;ITK;TEC;BMX	0.2882;0.2870;0.2869;0.2805;0.2797;0.2784;0.2753;0.2611;0.2591;0.2392	1;2;3;5;6;7;8;20;36;66	0.2882	2	0.2969	512.4	3.712	False
dec_BTK_0120	BTK	top_cosine	Nc1n[nH]c(=O)c2c([C@@H]3CCCN(C(=O)C=CCl)C3)nn(-c3ccc(Oc4ccccc4)cc3)c12	C	0.8261	0.3889	0.97	0.81	2	0.2868	Btk;BTK;BMX;TEC;Bmx;ITK;TXK;BLK;Blk;MAP2K7	0.2877;0.2868;0.2510;0.2455;0.2436;0.2394;0.2133;0.2117;0.2092;0.1946	1;3;4;5;6;24;63;64;65;68	0.2877	2	0.4088	490.95	3.942	True
dec_BTK_0123	BTK	scaffold_div	N#C/C(=C\C1CC1)C(=O)N1CCC[C@@H](NC(=O)c2sc3nccc4c3c2NC(=O)N4c2ccc(Oc3ccccc3)cc2CF)C1	C	0.8804	0.2542	0.95	0.85	2	0.2847	Btk;BTK;BMX;Bmx;TEC;ITK;TXK;BLK;Blk;P4HA1	0.2858;0.2847;0.2504;0.2442;0.2207;0.2139;0.2101;0.1659;0.1611;0.1447	1;3;4;5;41;43;46;66;67;68	0.2858	4	0.1614	636.71	6.822	False
dec_BTK_0124	BTK	scaffold_div	NCC1(C(=O)N2CCC[C@@H](c3nn(-c4ccc(Oc5cccc(F)c5)cc4)c4c(N)nccc34)C2)COC1	C	0.7	0.2913	0.96	0.81	2	0.2847	Btk;BTK;ITK;TEC;BMX;TXK;Bmx;BLK;Blk;FGR	0.2852;0.2847;0.2683;0.2668;0.2456;0.2422;0.2401;0.2264;0.2263;0.1949	1;2;4;5;6;8;10;48;49;68	0.2852	2	0.4015	516.58	3.615	False
dec_BTK_0125	BTK	scaffold_div	Cc1cc(Oc2ccccc2)ncc1N1C(=O)Nc2c(C(=O)N[C@@H]3CCC[C@@H]3NC(=O)C=CS)sc3nccc1c23	C	0.8537	0.2018	0.97	0.88	2	0.2830	Btk;BTK;ITK;TEC;TXK;BMX;Bmx;Blk;BLK;ABL	0.2842;0.2830;0.2451;0.2197;0.2108;0.2093;0.2017;0.1898;0.1881;0.1603	1;3;4;62;63;64;65;66;67;71	0.2842	2	0.163	586.7	5.686	False
dec_BTK_0127	BTK	scaffold_div	CC=CC(=O)N1CC(NC(=O)c2sc3nccc4c3c2NC(=O)N4c2cccc(-c3cccc(C(F)(F)F)c3)c2)C1	C	0.7412	0.1552	0.97	0.87	2	0.2819	Btk;BTK;BMX;Bmx;ITK;TEC;TXK;BLK;Blk;CAO	0.2852;0.2819;0.2552;0.2517;0.2422;0.2323;0.2294;0.2211;0.2164;0.1776	1;3;32;40;42;51;56;66;67;69	0.2852	1	0.2771	577.59	6.182	False
dec_BTK_0128	BTK	scaffold_div	CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3ccc(C(N)=O)c4[nH]c(C5CCC(=O)NC5)nc34)c2CP)cc1	C	0.4302	0.2193	0.89	1.72	1	0.2853	BTK;Btk;MAPKAPK2;BMX;MAPKAPK3;TXK;Bmx;TEC;INSR;EIF2AK4	0.2853;0.2801;0.2545;0.2513;0.2504;0.2361;0.2358;0.2307;0.2264;0.2254	1;18;46;47;48;52;53;54;55;56	0.2853	1	0.2423	555.62	5.247	False
dec_BTK_0129	BTK	scaffold_div	CC(C)(CS)c1cc(F)c2c(=O)n(-c3cccc(-c4cc(C(N)=O)c5[nH]nc(N)c5c4)c3CO)ncc2c1	C	0.8816	0.12	0.97	0.98	2	0.2814	Btk;BTK;BMX;Bmx;F9;TXK;ITK;TEC;MET;MAPKAPK2	0.2821;0.2814;0.2728;0.2605;0.2292;0.2248;0.2134;0.2074;0.1897;0.1830	1;2;26;41;48;49;50;51;67;77	0.2821	2	0.2112	532.6	3.449	False
dec_BTK_0130	BTK	scaffold_div	CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-c4ccc(C(N)=O)c5[nH]c6c(c45)CCCC6)c3CO)ncc2c1	C	0.619	0.1261	0.95	0.93	2	0.2810	Btk;BTK;BMX;Bmx;TXK;MAPKAPK2;TEC;Mapkapk2;F9;ITK	0.2819;0.2810;0.2681;0.2543;0.2220;0.2133;0.2035;0.1967;0.1948;0.1926	1;3;4;39;46;49;55;56;57;59	0.2819	4	0.2827	538.62	5.441	False
dec_BTK_0132	BTK	scaffold_div	CCC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(C(=O)Nc3nc4cc(Cl)ccc4o3)c3c(N)nccc32)C1)N1CCN(C2COC2)CC1	C	0.5776	0.2683	0.87	1.78	3	0.2775	Btk;ITK;BTK;Bmx;BMX;TEC;TXK;Blk;BLK;FRK	0.2796;0.2785;0.2775;0.2743;0.2732;0.2711;0.2480;0.2337;0.2305;0.2251	1;3;4;5;6;7;23;52;53;63	0.2796	1	0.2037	687.2	3.859	False
dec_BTK_0133	BTK	scaffold_div	CCn1cc(Nc2nc(N[C@@H]3CCN(C(=O)C=CP)C3)c3c(Cl)c[nH]c3n2)cn1	C	0.7808	0.1869	0.97	0.85	1	0.2915	BTK;Jak2;PTK2;JAK3;Btk;JAK2;FGFR1;Jak3;Tyk2;TYK2	0.2915;0.2878;0.2830;0.2790;0.2786;0.2779;0.2735;0.2726;0.2659;0.2545	1;2;4;7;9;11;21;37;54;88	0.2915	6	0.4084	432.86	2.973	True
