protein_idx	protein_id	uniprot_accession	gene_symbol	status
167	pdb:1d7x	P08254	MMP3	pdb→sifts→uniprot
168	pdb:1d8e	Q02293	Fntb	pdb→sifts→uniprot
169	pdb:1d8f	P08254	MMP3	pdb→sifts→uniprot
170	pdb:1d8m	P08254	MMP3	pdb→sifts→uniprot
171	pdb:1d9i	P00734	F2	pdb→sifts→uniprot
172	pdb:1dar	Q5SHN5	fusA	pdb→sifts→uniprot
173	pdb:1db1	P11473	VDR	pdb→sifts→uniprot
174	pdb:1db4	P14555	PLA2G2A	pdb→sifts→uniprot
175	pdb:1db5	P14555	PLA2G2A	pdb→sifts→uniprot
176	pdb:1dbb	P01868	Ighg1	pdb→sifts→uniprot
177	pdb:1dbj	P01868	Ighg1	pdb→sifts→uniprot
178	pdb:1dbk	P01868	Ighg1	pdb→sifts→uniprot
179	pdb:1ddm	P16554	numb	pdb→sifts→uniprot
180	pdb:1det	P00651	rntA	pdb→sifts→uniprot
181	pdb:1df8	P22629		pdb→sifts→uniprot
182	pdb:1dfo	P0A825	glyA	pdb→sifts→uniprot
183	pdb:1dg9	P11064	ACP1	pdb→sifts→uniprot
184	pdb:1dgm	Q9TVW2	AK	pdb→sifts→uniprot
185	pdb:1dhi	P0ABQ4	folA	pdb→sifts→uniprot
186	pdb:1dhj	P0ABQ4	folA	pdb→sifts→uniprot
187	pdb:1di8	P24941	CDK2	pdb→sifts→uniprot
188	pdb:1di9	Q16539	MAPK14	pdb→sifts→uniprot
189	pdb:1dif	P03367	gag-pol	pdb→sifts→uniprot
190	pdb:1dis	P00381	folA	pdb→sifts→uniprot
191	pdb:1dkd	P0A6F5	groEL	pdb→sifts→uniprot
192	pdb:1dl7	P01724		pdb→sifts→uniprot
193	pdb:1dm2	P24941	CDK2	pdb→sifts→uniprot
194	pdb:1dmb	P0AEX9	malE	pdb→sifts→uniprot
195	pdb:1dmp	P04585	gag-pol	pdb→sifts→uniprot
196	pdb:1dmt	P08473	MME	pdb→sifts→uniprot
197	pdb:1doj	P00734	F2	pdb→sifts→uniprot
198	pdb:1dpu	P15927	RPA2	pdb→sifts→uniprot
199	pdb:1dqn	Q24973		pdb→sifts→uniprot
200	pdb:10gs	P09211	GSTP1	pdb→sifts→uniprot
201	pdb:11gs	P09211	GSTP1	pdb→sifts→uniprot
202	pdb:13gs	P09211	GSTP1	pdb→sifts→uniprot
203	pdb:16pk	P07378		pdb→sifts→uniprot
204	pdb:184l	P00720	E	pdb→sifts→uniprot
205	pdb:185l	P00720	E	pdb→sifts→uniprot
206	pdb:186l	P00720	E	pdb→sifts→uniprot
207	pdb:187l	P00720	E	pdb→sifts→uniprot
208	pdb:188l	P00720	E	pdb→sifts→uniprot
209	pdb:1a07	P12931	SRC	pdb→sifts→uniprot
210	pdb:1a08	P12931	SRC	pdb→sifts→uniprot
211	pdb:1a09	P12931	SRC	pdb→sifts→uniprot
212	pdb:1a0q	P01837	Igkc	pdb→sifts→uniprot
213	pdb:1a0t	P22340	scrY	pdb→sifts→uniprot
214	pdb:1a1b	P12931	SRC	pdb→sifts→uniprot
215	pdb:1a1c	P12931	SRC	pdb→sifts→uniprot
216	pdb:1a1e	P12931	SRC	pdb→sifts→uniprot
217	pdb:1a28	P06401	PGR	pdb→sifts→uniprot
218	pdb:1a2c	P00734	F2	pdb→sifts→uniprot
219	pdb:1a30	P04585	gag-pol	pdb→sifts→uniprot
220	pdb:1a3e	P00734	F2	pdb→sifts→uniprot
221	pdb:1a42	P00918	CA2	pdb→sifts→uniprot
222	pdb:1a46	P00734	F2	pdb→sifts→uniprot
223	pdb:1a4g	P27907	NA	pdb→sifts→uniprot
224	pdb:1a4h	P02829	HSP82	pdb→sifts→uniprot
225	pdb:1a4k	P01834	IGKC	pdb→sifts→uniprot
226	pdb:1a4m	P03958	Ada	pdb→sifts→uniprot
227	pdb:1a4q	P27907	NA	pdb→sifts→uniprot
228	pdb:1a4r	P60953	CDC42	pdb→sifts→uniprot
229	pdb:1a4w	P00734	F2	pdb→sifts→uniprot
230	pdb:1a50	P0A2K1	trpB	pdb→sifts→uniprot
231	pdb:1a52	P03372	ESR1	pdb→sifts→uniprot
232	pdb:1a5g	P00734	F2	pdb→sifts→uniprot
233	pdb:1a5h	P00750	PLAT	pdb→sifts→uniprot
234	pdb:1a5v	O92956	gag-pol	pdb→sifts→uniprot
235	pdb:1a61	P00734	F2	pdb→sifts→uniprot
236	pdb:1a69	P0ABP8	deoD	pdb→sifts→uniprot
237	pdb:1a7c	P05121	SERPINE1	pdb→sifts→uniprot
238	pdb:1a7t	P25910	ccrA	pdb→sifts→uniprot
239	pdb:1a7x	P62942	FKBP1A	pdb→sifts→uniprot
240	pdb:1a85	P22894	MMP8	pdb→sifts→uniprot
241	pdb:1a86	P22894	MMP8	pdb→sifts→uniprot
242	pdb:1a8i	P00489	PYGM	pdb→sifts→uniprot
243	pdb:1a8t	P25910	ccrA	pdb→sifts→uniprot
244	pdb:1a94	P03367	gag-pol	pdb→sifts→uniprot
245	pdb:1a99	P31133	potF	pdb→sifts→uniprot
246	pdb:1a9m	P03366	gag-pol	pdb→sifts→uniprot
247	pdb:1a9q	P55859	PNP	pdb→sifts→uniprot
248	pdb:1a9u	Q16539	MAPK14	pdb→sifts→uniprot
249	pdb:1aaq	P03367	gag-pol	pdb→sifts→uniprot
250	pdb:1abf	P02924	araF	pdb→sifts→uniprot
251	pdb:1abt	P60615		pdb→sifts→uniprot
252	pdb:1acj	P04058	ache	pdb→sifts→uniprot
253	pdb:1ad8	P00734	F2	pdb→sifts→uniprot
254	pdb:1add	P03958	Ada	pdb→sifts→uniprot
255	pdb:1adl	P04117	Fabp4	pdb→sifts→uniprot
256	pdb:1ado	P00883	ALDOA	pdb→sifts→uniprot
257	pdb:1af2	P0ABF6	cdd	pdb→sifts→uniprot
258	pdb:1af6	P02943	lamB	pdb→sifts→uniprot
259	pdb:1afk	P61823	RNASE1	pdb→sifts→uniprot
260	pdb:1afl	P61823	RNASE1	pdb→sifts→uniprot
261	pdb:1ag9	P61949	fldA	pdb→sifts→uniprot
262	pdb:1agm	P69327	GLAA	pdb→sifts→uniprot
263	pdb:1agw	P11362	FGFR1	pdb→sifts→uniprot
264	pdb:1aht	P00734	F2	pdb→sifts→uniprot
265	pdb:1ahx	P00509	aspC	pdb→sifts→uniprot
266	pdb:1ahy	P00509	aspC	pdb→sifts→uniprot
267	pdb:1ai4	P06875	pac	pdb→sifts→uniprot
268	pdb:1ai5	P06875	pac	pdb→sifts→uniprot
269	pdb:1ai6	P06875	pac	pdb→sifts→uniprot
270	pdb:1ai7	P06875	pac	pdb→sifts→uniprot
271	pdb:1aid	P03369	gag-pol	pdb→sifts→uniprot
272	pdb:1aj6	P0AES6	gyrB	pdb→sifts→uniprot
273	pdb:1aj7	P01857	IGHG1	pdb→sifts→uniprot
274	pdb:1ajn	P06875	pac	pdb→sifts→uniprot
275	pdb:1ajp	P06875	pac	pdb→sifts→uniprot
276	pdb:1ajq	P06875	pac	pdb→sifts→uniprot
277	pdb:1ajv	P03366	gag-pol	pdb→sifts→uniprot
278	pdb:1ajx	P03366	gag-pol	pdb→sifts→uniprot
279	pdb:1akq	P00323		pdb→sifts→uniprot
280	pdb:1akr	P00323		pdb→sifts→uniprot
281	pdb:1akt	P00323		pdb→sifts→uniprot
282	pdb:1aku	P00323		pdb→sifts→uniprot
283	pdb:1akv	P00323		pdb→sifts→uniprot
284	pdb:1akw	P00323		pdb→sifts→uniprot
285	pdb:1al7	P05414		pdb→sifts→uniprot
286	pdb:1al8	P05414		pdb→sifts→uniprot
287	pdb:1alw	P04574	CAPNS1	pdb→sifts→uniprot
288	pdb:1amk	P48499		pdb→sifts→uniprot
289	pdb:1amn	P04058	ache	pdb→sifts→uniprot
290	pdb:1amw	P02829	HSP82	pdb→sifts→uniprot
291	pdb:1anf	P0AEX9	malE	pdb→sifts→uniprot
292	pdb:1ao0	P00497	purF	pdb→sifts→uniprot
293	pdb:1ao8	P00381	folA	pdb→sifts→uniprot
294	pdb:1apb	P02924	araF	pdb→sifts→uniprot
295	pdb:1apv	P00798		pdb→sifts→uniprot
296	pdb:1apw	P00798		pdb→sifts→uniprot
297	pdb:1aq1	P24941	CDK2	pdb→sifts→uniprot
298	pdb:1aq7	P00760	PRSS1	pdb→sifts→uniprot
299	pdb:1aqc	Q02410	APBA1	pdb→sifts→uniprot
300	pdb:1aqi	P14385	taqIM	pdb→sifts→uniprot
301	pdb:1aqj	P14385	taqIM	pdb→sifts→uniprot
302	pdb:1at5	P00698	LYZ	pdb→sifts→uniprot
303	pdb:1at6	P00698	LYZ	pdb→sifts→uniprot
304	pdb:1atl	P15167		pdb→sifts→uniprot
305	pdb:1atr	P19120	HSPA8	pdb→sifts→uniprot
306	pdb:1au0	P43235	CTSK	pdb→sifts→uniprot
307	pdb:1au2	P43235	CTSK	pdb→sifts→uniprot
308	pdb:1auj	P00760	PRSS1	pdb→sifts→uniprot
309	pdb:1avd	P02701	AVD	pdb→sifts→uniprot
310	pdb:1avn	P00918	CA2	pdb→sifts→uniprot
311	pdb:1avp	P03252	L3	pdb→sifts→uniprot
312	pdb:1aw1	P50921	tpiA	pdb→sifts→uniprot
313	pdb:1awf	P00734	F2	pdb→sifts→uniprot
314	pdb:1awh	P00734	F2	pdb→sifts→uniprot
315	pdb:1awi	P07737	PFN1	pdb→sifts→uniprot
316	pdb:1ax0	P16404		pdb→sifts→uniprot
317	pdb:1ax1	P16404		pdb→sifts→uniprot
318	pdb:1ax2	P16404		pdb→sifts→uniprot
319	pdb:1axr	P00489	PYGM	pdb→sifts→uniprot
320	pdb:1axs	Q7Z3Y4		pdb→sifts→uniprot
321	pdb:1axz	P16404		pdb→sifts→uniprot
322	pdb:1ayu	P43235	CTSK	pdb→sifts→uniprot
323	pdb:1ayv	P43235	CTSK	pdb→sifts→uniprot
324	pdb:1aze	P62993	GRB2	pdb→sifts→uniprot
325	pdb:1azg	P06241	FYN	pdb→sifts→uniprot
326	pdb:1azl	P00323		pdb→sifts→uniprot
327	pdb:1azm	P00915	CA1	pdb→sifts→uniprot
328	pdb:1azx	P01008	SERPINC1	pdb→sifts→uniprot
329	pdb:1b05	P06202	oppA	pdb→sifts→uniprot
330	pdb:1b0f	P08246	ELANE	pdb→sifts→uniprot
331	pdb:1b0h	P06202	oppA	pdb→sifts→uniprot
332	pdb:1b11	P16088	pol	pdb→sifts→uniprot
333	pdb:1b1h	P06202	oppA	pdb→sifts→uniprot
334	pdb:1b2h	P06202	oppA	pdb→sifts→uniprot
335	pdb:1b2i	P00747	PLG	pdb→sifts→uniprot
336	pdb:1b2m	P00651	rntA	pdb→sifts→uniprot
337	pdb:1b32	P06202	oppA	pdb→sifts→uniprot
338	pdb:1b38	P24941	CDK2	pdb→sifts→uniprot
339	pdb:1b39	P24941	CDK2	pdb→sifts→uniprot
340	pdb:1b3f	P06202	oppA	pdb→sifts→uniprot
341	pdb:1b3g	P06202	oppA	pdb→sifts→uniprot
342	pdb:1b3h	P06202	oppA	pdb→sifts→uniprot
343	pdb:1b3l	P06202	oppA	pdb→sifts→uniprot
344	pdb:1b40	P06202	oppA	pdb→sifts→uniprot
345	pdb:1b42	P07617	OPG102	pdb→sifts→uniprot
346	pdb:1b46	P06202	oppA	pdb→sifts→uniprot
347	pdb:1b4d	P00489	PYGM	pdb→sifts→uniprot
348	pdb:1b4h	P06202	oppA	pdb→sifts→uniprot
349	pdb:1b4z	P06202	oppA	pdb→sifts→uniprot
350	pdb:1b51	P06202	oppA	pdb→sifts→uniprot
351	pdb:1b52	P06202	oppA	pdb→sifts→uniprot
352	pdb:1b55	Q06187	BTK	pdb→sifts→uniprot
353	pdb:1b56	Q01469	FABP5	pdb→sifts→uniprot
354	pdb:1b57	P0AB71	fbaA	pdb→sifts→uniprot
355	pdb:1b58	P06202	oppA	pdb→sifts→uniprot
356	pdb:1b5g	P00734	F2	pdb→sifts→uniprot
357	pdb:1b5h	P06202	oppA	pdb→sifts→uniprot
358	pdb:1b5i	P06202	oppA	pdb→sifts→uniprot
359	pdb:1b5j	P06202	oppA	pdb→sifts→uniprot
360	pdb:1b6h	P06202	oppA	pdb→sifts→uniprot
361	pdb:1b6j	P03369	gag-pol	pdb→sifts→uniprot
362	pdb:1b6k	P03369	gag-pol	pdb→sifts→uniprot
363	pdb:1b6l	P03369	gag-pol	pdb→sifts→uniprot
364	pdb:1b6m	P03369	gag-pol	pdb→sifts→uniprot
365	pdb:1b6p	P03369	gag-pol	pdb→sifts→uniprot
366	pdb:1b74	P56868	murI	pdb→sifts→uniprot
367	pdb:1b7h	P06202	oppA	pdb→sifts→uniprot
368	pdb:1b8n	P55859	PNP	pdb→sifts→uniprot
369	pdb:1b8o	P55859	PNP	pdb→sifts→uniprot
370	pdb:1b8y	P08254	MMP3	pdb→sifts→uniprot
371	pdb:1b9j	P06202	oppA	pdb→sifts→uniprot
372	pdb:1b9t	P03474	NA	pdb→sifts→uniprot
373	pdb:1b9v	P03474	NA	pdb→sifts→uniprot
374	pdb:1ba8	P00734	F2	pdb→sifts→uniprot
375	pdb:1bai	P03322	gag	pdb→sifts→uniprot
376	pdb:1bap	P02924	araF	pdb→sifts→uniprot
377	pdb:1bb0	P00734	F2	pdb→sifts→uniprot
378	pdb:1bbz	P00519	ABL1	pdb→sifts→uniprot
379	pdb:1bcd	P00918	CA2	pdb→sifts→uniprot
380	pdb:1bcj	P19999	Mbl1	pdb→sifts→uniprot
381	pdb:1bcu	P00734	F2	pdb→sifts→uniprot
382	pdb:1bdl	P04587	gag-pol	pdb→sifts→uniprot
383	pdb:1bdq	P04587	gag-pol	pdb→sifts→uniprot
384	pdb:1bdr	P04587	gag-pol	pdb→sifts→uniprot
385	pdb:1bgo	P43235	CTSK	pdb→sifts→uniprot
386	pdb:1bgq	P02829	HSP82	pdb→sifts→uniprot
387	pdb:1bhf	P06239	LCK	pdb→sifts→uniprot
388	pdb:1bhx	P00734	F2	pdb→sifts→uniprot
389	pdb:1bil	P00797	REN	pdb→sifts→uniprot
390	pdb:1bim	P00797	REN	pdb→sifts→uniprot
391	pdb:1bio	P00746	CFD	pdb→sifts→uniprot
392	pdb:1biw	P08254	MMP3	pdb→sifts→uniprot
393	pdb:1bji	P03472	NA	pdb→sifts→uniprot
394	pdb:1bjr	P06873	PROK	pdb→sifts→uniprot
395	pdb:1bju	P00760	PRSS1	pdb→sifts→uniprot
396	pdb:1bjv	P00760	PRSS1	pdb→sifts→uniprot
397	pdb:1bkj	Q56691	frp	pdb→sifts→uniprot
398	pdb:1bkm	P00524	V-SRC	pdb→sifts→uniprot
399	pdb:1bky	P07617	OPG102	pdb→sifts→uniprot
400	pdb:1jlr	Q26998	uprt	pdb→sifts→uniprot
401	pdb:1jlx	Q71QF2		pdb→sifts→uniprot
402	pdb:1jm4	Q92831	KAT2B	pdb→sifts→uniprot
403	pdb:1jmf	P00469	thyA	pdb→sifts→uniprot
404	pdb:1jmg	P00469	thyA	pdb→sifts→uniprot
405	pdb:1jmi	P00469	thyA	pdb→sifts→uniprot
406	pdb:1jmq	P46937	YAP1	pdb→sifts→uniprot
407	pdb:1jn2	P02866		pdb→sifts→uniprot
408	pdb:1jn4	P61823	RNASE1	pdb→sifts→uniprot
409	pdb:1joc	Q15075	EEA1	pdb→sifts→uniprot
410	pdb:1joj	P55915		pdb→sifts→uniprot
411	pdb:1jp5			pdb_not_in_sifts
412	pdb:1jpl	Q9NZ52	GGA3	pdb→sifts→uniprot
413	pdb:1jq3	Q9WZC2	speE	pdb→sifts→uniprot
414	pdb:1jq8	P59071		pdb→sifts→uniprot
415	pdb:1jq9	P59071		pdb→sifts→uniprot
416	pdb:1jqd	P50135	HNMT	pdb→sifts→uniprot
417	pdb:1jqe	P50135	HNMT	pdb→sifts→uniprot
418	pdb:1jqy	P32890	eltB	pdb→sifts→uniprot
419	pdb:1jr1	P12269	IMPDH2	pdb→sifts→uniprot
420	pdb:1jrs	P00760	PRSS1	pdb→sifts→uniprot
421	pdb:1jsv	P24941	CDK2	pdb→sifts→uniprot
422	pdb:1jt1			pdb_not_in_sifts
423	pdb:1jtq	P0A884	thyA	pdb→sifts→uniprot
424	pdb:1juf	P01899	H2-D1	pdb→sifts→uniprot
425	pdb:1juj	P04818	TYMS	pdb→sifts→uniprot
426	pdb:1jut	P0A884	thyA	pdb→sifts→uniprot
427	pdb:1juy	P0A7D4	purA	pdb→sifts→uniprot
428	pdb:1jvp	P24941	CDK2	pdb→sifts→uniprot
429	pdb:1jvu	P61823	RNASE1	pdb→sifts→uniprot
430	pdb:1jwm	P0A0L5	entC3	pdb→sifts→uniprot
431	pdb:1jws	P0A0L5	entC3	pdb→sifts→uniprot
432	pdb:1jwt	P00734	F2	pdb→sifts→uniprot
433	pdb:1jwu	P0A0L5	entC3	pdb→sifts→uniprot
434	pdb:1jyc	P55915		pdb→sifts→uniprot
